Price,Close,High,Low,Open,Volume
Ticker,SBSP3.SA,SBSP3.SA,SBSP3.SA,SBSP3.SA,SBSP3.SA
Date,,,,,
2010-01-04,7.45366907119751,7.607353779022642,7.293399015507145,7.607353779022642,1066500
2010-01-05,7.46464729309082,7.5832036603091115,7.3680454364636665,7.5129475932712255,821400
2010-01-06,7.462451934814453,7.469038539216075,7.332918312870699,7.469038539216075,1120200
2010-01-07,7.343896865844727,7.398783779913141,7.291205277587062,7.361460728597282,972900
2010-01-08,7.4668426513671875,7.55246662494223,7.234121194905079,7.352677562644856,1871100
2010-01-11,7.521729946136475,7.545879781501483,7.4448879048967695,7.4624517641439505,1086000
2010-01-12,7.376827239990234,7.455864600674442,7.30876713347889,7.455864600674442,975900
2010-01-13,7.460256099700928,7.462452053291778,7.2933994303875105,7.376828079110808,1906800
2010-01-14,7.3570685386657715,7.486601528281489,7.3351134007490995,7.361459189369217,628800
2010-01-15,7.354872703552246,7.407564281640514,7.24948954737571,7.352677378165191,1031700
2010-01-18,7.1660614013671875,7.416346706878887,7.1660614013671875,7.357068525555965,450600
2010-01-19,7.157278060913086,7.260465878572235,7.06945877527404,7.113369046226641,796200
2010-01-20,6.959684371948242,7.080436675176933,6.893820221617142,7.080436675176933,1715700
2010-01-21,6.812588691711426,7.014573083367197,6.801610808021549,6.983836642181825,1362900
2010-01-22,6.674272537231445,6.900407373329766,6.652318028087812,6.893820769333424,1847100
2010-01-26,6.700618743896484,6.7423324395032695,6.652318443881671,6.654513769306624,1463400
2010-01-27,6.6457319259643555,6.759897015278912,6.619386136122534,6.729159946396866,1054800
2010-01-28,6.795023441314697,6.869670780754059,6.632558067271346,6.720377358141567,1366800
2010-01-29,6.882843971252441,7.080437707315796,6.838934321919826,6.8608888325195485,1616400
2010-02-01,7.076045036315918,7.135323208287036,6.762090948315494,6.882842617259203,870600
2010-02-02,7.0101823806762695,7.135324726245524,7.003595776137577,7.025550287088977,692400
2010-02-03,7.02554988861084,7.091414673995657,6.933339314698725,7.02554988861084,549900
2010-02-04,6.744527339935303,7.069458693019118,6.72476815792969,7.025549050710494,1148400
2010-02-05,6.674272537231445,6.8345425896326075,6.65451335337555,6.676467862519183,789600
2010-02-08,6.70281457901001,6.784047907242026,6.639145739912746,6.674273461915818,784800
2010-02-09,6.882843971252441,6.937730875884918,6.7335511635215495,6.8103932068869195,1174200
2010-02-10,6.838934898376465,7.003596254286438,6.784047989117548,6.981641741836161,515100
2010-02-11,6.950904369354248,7.047505601841314,6.742332741317951,6.891626183294795,762300
2010-02-12,6.799414157867432,6.915775179751606,6.799414157867432,6.8081960862285165,1002900
2010-02-17,7.036529541015625,7.091416457216173,6.950905549737456,6.950905549737456,894900
2010-02-18,7.012375831604004,7.093609768964796,6.917970571906495,7.001399206212515,709500
2010-02-19,7.069459438323975,7.139715501557658,7.012376583238211,7.012376583238211,565200
2010-02-22,6.972858428955078,7.177038136446028,6.972858428955077,7.111173978085432,913200
2010-02-23,6.8718671798706055,7.007987416057741,6.8433260629108945,6.909190227289705,870600
2010-02-24,6.762092113494873,7.010182097268265,6.7050098848224104,6.928949405019072,1194000
2010-02-25,6.779655456542969,6.838933634214432,6.612798805857702,6.67646763395433,1069500
2010-02-26,6.663295745849609,6.836739662783452,6.663295745849609,6.733551819762003,894600
2010-03-01,6.786853790283203,6.90379279308611,6.7228680837956585,6.760377142125521,829500
2010-03-02,6.83980655670166,6.903792258232071,6.775820855171248,6.775820855171248,910200
2010-03-03,6.806710720062256,6.99646033637587,6.804504490658227,6.842012915538924,1281600
2010-03-04,6.755962371826172,6.923648399713382,6.73389881947444,6.784645873637522,589800
2010-03-05,6.939093589782715,6.965570235003952,6.819949001913657,6.859663654119005,1103700
2010-03-08,6.872903347015381,6.972190624017575,6.83098182783557,6.972190624017575,805200
2010-03-09,6.9258551597595215,6.950125574209777,6.806709947914972,6.808916177068729,1179000
2010-03-10,6.972188949584961,7.027348464533234,6.905997657897624,6.958950943748677,1036200
2010-03-11,6.905999183654785,7.0008733683256255,6.85083965652,6.969984260381262,720600
2010-03-12,6.806710720062256,7.038381851317676,6.806710720062256,7.038381851317676,529200
2010-03-15,6.855250835418701,6.928062086096598,6.764789749734615,6.764789749734615,695400
2010-03-16,6.888347148895264,6.998666829544079,6.808917206079223,6.808917206079223,299400
2010-03-17,6.872903347015381,7.0096996839432535,6.842013607224011,6.956746385375002,789300
2010-03-18,6.96115779876709,7.029555956954713,6.850838758951069,6.850838758951069,786000
2010-03-19,6.974395275115967,7.007491237043728,6.868488701949508,6.99645946015213,622200
2010-03-22,6.9037909507751465,6.98322087405192,6.859662584368466,6.8795205386273475,531000
2010-03-23,6.855250835418701,6.963364912374179,6.842012827911019,6.886140571691695,332100
2010-03-24,6.797885894775391,6.994253570715123,6.771408616555226,6.786853485099304,629700
2010-03-25,6.773614406585693,6.9258555902104915,6.742724671501352,6.837600106045254,443100
2010-03-26,6.707423210144043,6.83980643838642,6.641231280396341,6.8177428826392035,1264800
2010-03-29,6.983222484588623,7.022937139759921,6.837600609370054,6.837600609370054,1839300
2010-03-30,6.963365077972412,6.989841724870468,6.8640771786649095,6.981015544651394,1022400
2010-03-31,7.042794704437256,7.117811551674851,6.868489331069073,6.992047011080546,1085700
2010-04-01,7.356101989746094,7.433325704144729,6.989842008424905,7.106779747902106,1226100
2010-04-05,7.4134674072265625,7.501722888934224,7.371545895602173,7.400229400596912,699000
2010-04-06,7.347275733947754,7.464213452133964,7.283290039558594,7.362719969013066,882600
2010-04-07,7.455387592315674,7.455387592315673,7.281082889143785,7.40243431271304,1431000
2010-04-08,7.706917762756348,7.717949540736868,7.455389311031697,7.457595540377194,4995
2010-04-09,7.556882381439209,7.784141035128333,7.55026306252044,7.6230743081209145,839100
2010-04-12,7.395816802978516,7.612043063175775,7.395816802978516,7.532613124353871,918300
2010-04-13,7.556882381439209,7.616454989202145,7.3207994421153835,7.411260521491255,1218000
2010-04-14,7.722360610961914,7.766488346202942,7.501721934756777,7.501721934756777,839700
2010-04-15,7.623074531555176,7.733394202173851,7.581153018844899,7.713536244835499,808500
2010-04-16,7.578946113586426,7.695884461635051,7.468626452807245,7.525992827913129,690900
2010-04-19,7.612042427062988,7.6274866626590665,7.464213708653915,7.501722761180645,509400
2010-04-20,7.589978218078613,7.651757685285169,7.514961375761485,7.594391307701789,634800
2010-04-22,7.501723289489746,7.709123366950407,7.362720740564869,7.362720740564869,1037700
2010-04-23,7.479658603668213,7.6098349530342055,7.395815588607568,7.576738992812744,817500
